[INFO] 2025-08-21 11:44:34,937 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:45:31,355 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:45:31,391 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:45:31,466 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:45:31,501 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:50:52,762 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 11:50:52,785 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 11:50:52,798 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 11:50:52,848 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 11:50:52,992 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:50:53,023 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:50:55,468 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:50:55,493 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:50:55,799 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:50:55,884 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:51:32,012 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
